country,director,genre,title,year
Индонезия,"Ханун Брамантйо, 1","драматический фильм, 1",?,7 апреля 2011
СССР,Борис Эпштейн,игровое кино,Чудотворец из Бирюлёва,1958
СССР,Аркадий Кольцатый,"драма, приключения",«SOS» над тайгой,1976
"Армения, Франция, Россия",Арам Шахбазян,,"«Москвич», любовь моя",2015
США,"Энтони Хайнс, Каспер Кристенсен","романтическая комедия, научно-фантастический фильм",(Не)идеальные роботы,2023
Индия,Сенна Хегде,"документальный, драма, комедия",0-41*,2016
Великобритания,Питер Дэвисон,"комедийный фильм, кинопародия",(Почти) Пять Докторов: Перезагрузка,23 ноября 2013
Франция,Стефан Бризе,драматический фильм,(Не)бывшие,8 сентября 2023 1 4 октября 2023 1 20 марта 2024 1 21 марта 2024 2 27 марта 2024 1 28 марта 2024 1 1 мая 2024 3 2 мая 2024 1
СССР,Леонид Осыка,"документально, биографический фильм",…которого любили все,1982
СССР,Вячеслав Винник,спортивный фильм,…И прекрасный миг победы,1984
СССР,"Илья Гутман, Иосиф Пастернак","документальный, спорт",«Спартак»: действующие лица… и болельщики,1985
Чехословакия,Збынек Брыных,"драма, военный, арт-хаус",…а пятый всадник – Страх,1965
Чехословакия,Яромил Йиреш,"драма, военный",…и передайте привет ласточкам,1972
США,Рассел Малкэхи,"биографическая, спортивная, драма",3: История Дейла Эрнхардта,2004
США,Гэбриэль Коуэн,драма,3 ночи в пустыне,2014
"Россия, Нидерланды",Илья Хржановский,драма,Четыре,2004
Австралия,"Мулари К. Теллури, 1, 2, […]","драматический фильм, 1, 2",2:37,2006
"США, Австралия",Пол Карри,триллер,2:22,2017
США,Бенни Бум,"байопик, драма, боевик",2pac: Легенда,2017
Россия,Сергей Соловьёв,драма,2-Асса-2,2008
"Франция, Великобритания",Юго Желен,"драма, семейный",2+1,2016
Бразилия,Марко Фиорито,"порнофильм, ЛГБТ-фильм",2 Girls 1 Cup,5 января 2007
Индия,Раджкумар Хирани,"комедия, драма",3 идиота,2009
Франция,Жан-Луи Гийерму,комедия,2 дурня в снегу,1977
Канада,Манон Брайан,комедия,2 секунды,1998
Франция,"Оливье Накаш, 2, Эрик Толедано, 2","комедийная драма, бадди-муви",1+1,2011
США,Нил Бёргер,комедийная драма,1+1: Голливудская история,2017 2019
"Франция, Германия",Жюли Дельпи,"комедия, драма, мелодрама",2 дня в Париже,2007
СССР,Амасий Мартиросян,комедия,01-99,1959
США,Лейф Тильден,"драма, мелодрама",1 миля до тебя,2017
США,Пол Краудер,документальный,1,2013
Австралия,Стив МакКаллум,криминальный,1%,2017
"США, 2, 3",Брайан Хелгеленд,"драма, спортивный фильм",42 / Номер 42,12 апреля 2013 8 августа 2013 1
США,"Ллойд Бэкон, Басби Беркли","комедия, мюзикл, мелодрама",42-я улица,1933
Азербайджан,Эльчин Мусаоглу,драма,40-я дверь,2009
Россия,Александр Галибин,"детектив, триллер",40,2007
Венгрия,Карой Макк,"исторический фильм, военный, экранизация",39-я бригада,1959
США,Майкл Леманн,кинокомедия,40 дней и 40 ночей,2002
Республика Корея,Кан Джегю,"драма, боевик, военный",38-я параллель,2004
