country,director,genre,rating,title,year
СССР,"Илья Гутман, Иосиф Пастернак","документальный, спорт",,«Спартак»: действующие лица… и болельщики,1985
СССР,Борис Эпштейн,игровое кино,,Чудотворец из Бирюлёва,1958
Казахстан,Аскар Узабаев,комедийный фильм,,5 причин не влюбиться в казаха,2017
Индонезия,"Ханун Брамантйо, 1","драматический фильм, 1",7.0,?,7 апреля 2011
Франция,Стефан Бризе,драматический фильм,6.5,(Не)бывшие,8 сентября 2023 1 4 октября 2023 1 20 марта 2024 1 21 марта 2024 2 27 марта 2024 1 28 марта 2024 1 1 мая 2024 3 2 мая 2024 1
Индия,Сенна Хегде,"документальный, драма, комедия",8.9,0-41*,2016
Австралия,Стив МакКаллум,криминальный,5.3,1%,2017
США,"Энтони Хайнс, Каспер Кристенсен","романтическая комедия, научно-фантастический фильм",5.5,(Не)идеальные роботы,2023
США,Лейф Тильден,"драма, мелодрама",6.3,1 миля до тебя,2017
Великобритания,Питер Дэвисон,"комедийный фильм, кинопародия",8.5,(Почти) Пять Докторов: Перезагрузка,23 ноября 2013
США,Пол Краудер,документальный,7.9,1,2013
"Армения, Франция, Россия",Арам Шахбазян,,8.0,"«Москвич», любовь моя",2015
Чехословакия,Збынек Брыных,"драма, военный, арт-хаус",7.2,…а пятый всадник – Страх,1965
"Израиль, ПНА, Франция, Нидерланды","Эмад Бурнат, Гай Давиди",документальный фильм,7.9,5 разбитых камер,2011
СССР,Аркадий Кольцатый,"драма, приключения",5.4,«SOS» над тайгой,1976
СССР,Вячеслав Винник,спортивный фильм,2.7,…И прекрасный миг победы,1984
Россия,Александр Андреев,трагикомедия,4.7,5 недель,2021
СССР,Леонид Осыка,"документально, биографический фильм",,…которого любили все,1982
США,Симон Бранд,триллер,6.4,5 неизвестных...,2006
Великобритания,Ноэль Кларк,триллер,5.8,4.3.2.1,2010
СССР,Радомир Василевский,комедия,6.9,4:0 в пользу Танечки,1982
"Финляндия, Норвегия, Швеция, Дания","Рольф Клеменс, Палле Кьерулф-Шмидт, Мауну Куркваара","драма, комедия",6.9,4 x 4,1965
США,Абель Феррара,"драма, фантастика",4.6,4:44. Последний день на Земле,2011
США,Рассел Малкэхи,"биографическая, спортивная, драма",6.7,3: История Дейла Эрнхардта,2004
"США, Грузия",Ренни Харлин,"военный, боевик",5.5,5 дней в августе,2011
Румыния,Кристиан Мунджиу,драма,7.9,"4 месяца, 3 недели и 2 дня",2007
Украина,"Иван Гаврилюк, Сайдо Курбанов",детектив,5.1,4 листа фанеры,1992
"Россия, Нидерланды",Илья Хржановский,драма,6.5,Четыре,2004
Венгрия,Карой Макк,"исторический фильм, военный, экранизация",6.6,39-я бригада,1959
Великобритания,Питер Гринуэй,"документальный, музыкальный",7.4,4 американских композитора,1983
США,Спайк Ли,Исторический документальный,7.8,4 маленькие девочки,1997
СССР,Андрей Малюков,"Фильм-катастрофа, приключенческий фильм, драма",6.2,34-й скорый,1981
Канада,Дени Вильнёв,"драма, мелодрама",6.5,32-е августа на Земле,1998
"Германия, Украина, Россия",Ахим фон Боррис,"военная, драма, боевик",6.4,4 дня в мае,2011
Чехословакия,Яромил Йиреш,"драма, военный",6.8,…и передайте привет ласточкам,1972
США,Виктор Шёстрём,драма,7.6,Алая буква,1926
США,"Джозеф В. Смайли, Джордж Лоан Такер",драматический фильм,7.5,Алая буква,1911
Великобритания,Клайв Доннер,"драматический фильм, экранизация романа, фильм плаща и шпаги",7.6,Алый первоцвет,1982
США,Ролан Жоффе,"драма, мелодрама",5.3,Алая буква,1995
СССР,Валерий Исаков,Мелодрама,5.2,Алый камень,1986
Великобритания,Харольд  Янг,"приключенческий фильм, фильм плаща и шпаги",7.3,Алый первоцвет,1934
Аргентина,"Анаи Бернери, 1",драматический фильм,6.2,Аланис,21 сентября 2017 22 сентября 2017 2 октября 2017 9 сентября 2017
Армения,Майкл А. Гурджиан,драматический фильм,7.4,Американец,2022
"СССР, ГДР",Владимир Фокин,"драма, военный",7.0,Александр Маленький,1981
США,Пол Вайц,комедия,7.0,Американский пирог,1999
"Великобритания, Франция",Деклан Лоуни,комедия,6.9,Алан Партридж: Альфа Отец,1
США,Бобби Джин Леонард,экшн,3.0,Американский ниндзя 5,1993
"США, Канада",Джо Нуссбаум,кинокомедия,5.1,Американский пирог представляет: Голая миля,2006
США,Джо Виола,боевик,4.6,Ангелов круче не бывает,1971
"Франция, Бельгия",Жан-Пьер Амери,романтическая комедия,6.8,Анонимные романтики,2010
Великобритания,Эндрю Никкол,"антиутопический фильм, научно-фантастический фильм, 1, кинофантастика, фильм-триллер, 1, киберпанк",6.1,Анон,2018
"США, Великобритания, Германия, Франция",Пэтрик Рид Джонсон,комедия,6.7,Ангус,1995
